Model,Class,Precision,Recall,F1-Score,Support
baseline_cnn,cardboard,0.7255,0.6066,0.6607,61
baseline_cnn,glass,0.7391,0.2237,0.3434,76
baseline_cnn,metal,0.404,0.6452,0.4969,62
baseline_cnn,paper,0.5312,0.7556,0.6239,90
baseline_cnn,plastic,0.625,0.3425,0.4425,73
baseline_cnn,trash,0.1667,0.3333,0.2222,21
mobilenetv2,cardboard,0.7639,0.9016,0.8271,61
mobilenetv2,glass,0.8302,0.5789,0.6822,76
mobilenetv2,metal,0.6353,0.871,0.7347,62
mobilenetv2,paper,0.8974,0.7778,0.8333,90
mobilenetv2,plastic,0.7188,0.6301,0.6715,73
mobilenetv2,trash,0.4839,0.7143,0.5769,21
efficientnetb0,cardboard,0.8689,0.8689,0.8689,61
efficientnetb0,glass,0.7867,0.7763,0.7815,76
efficientnetb0,metal,0.726,0.8548,0.7852,62
efficientnetb0,paper,0.871,0.9,0.8852,90
efficientnetb0,plastic,0.8431,0.589,0.6935,73
efficientnetb0,trash,0.5667,0.8095,0.6667,21
