timestamp,event_type,object_id,class_id,class_name,confidence,entropy,reliability_decision,decision_source,override,simulation_state,sorting_result,target_bin,classifier_latency_ms,udp_latency_ms,simulator_latency_ms,e2e_latency_ms
1790268139.212378,classification,,1,glass,0.3368,1.586449,UNCERTAIN,classifier,false,,,,130.8699,,,132.7512
1790268231.848942,classification,,2,metal,0.79165,0.684262,ACCEPT,classifier,false,,,,132.3035,,,133.6496
1790268232.022256,classification,,2,metal,0.731329,0.764236,ACCEPT,classifier,false,,,,127.1957,,,128.5904
1790268232.190853,classification,,2,metal,0.878995,0.436635,ACCEPT,classifier,false,,,,125.3781,,,127.1535
1790268232.377722,classification,,2,metal,0.887072,0.401073,ACCEPT,classifier,false,,,,125.6236,,,126.7666
1790268232.54454,classification,,2,metal,0.834616,0.520779,ACCEPT,classifier,false,,,,122.8267,,,123.9506
1790268232.734876,classification,,2,metal,0.77713,0.669719,ACCEPT,classifier,false,,,,144.1888,,,145.4824
1790268232.92368,classification,,2,metal,0.778695,0.664504,ACCEPT,classifier,false,,,,137.8541,,,139.1036
1790268233.09477,classification,,2,metal,0.784594,0.645079,ACCEPT,classifier,false,,,,126.5332,,,127.8426
1790268233.271032,classification,,2,metal,0.701641,0.84126,ACCEPT,classifier,false,,,,130.4648,,,131.5419
1790268233.443097,classification,,2,metal,0.833157,0.548357,ACCEPT,classifier,false,,,,125.1291,,,126.283
1790268233.614981,classification,,2,metal,0.824423,0.564858,ACCEPT,classifier,false,,,,126.87,,,127.9926
1790268233.777366,classification,,2,metal,0.793746,0.625902,ACCEPT,classifier,false,,,,122.943,,,124.0153
1790268233.95114,classification,,2,metal,0.656366,0.849552,UNCERTAIN,classifier,false,,,,134.4792,,,135.6056
1790268234.12002,classification,,2,metal,0.672398,0.836545,UNCERTAIN,classifier,false,,,,123.3938,,,125.2744
1790268234.292035,classification,,2,metal,0.812066,0.698373,ACCEPT,classifier,false,,,,126.1787,,,127.2666
1790268234.469335,classification,,2,metal,0.602249,0.968184,UNCERTAIN,classifier,false,,,,128.3912,,,129.5084
1790268234.641912,classification,,2,metal,0.585595,0.997128,UNCERTAIN,classifier,false,,,,127.5879,,,128.7907
1790268234.812287,classification,,2,metal,0.818387,0.675534,ACCEPT,classifier,false,,,,122.7299,,,123.8731
1790268234.987149,classification,,2,metal,0.841876,0.546828,ACCEPT,classifier,false,,,,129.3681,,,130.6737
1790268235.162264,classification,,2,metal,0.739176,0.796209,ACCEPT,classifier,false,,,,129.0853,,,130.4451
1790268235.333262,classification,,2,metal,0.824027,0.565107,ACCEPT,classifier,false,,,,125.4579,,,126.5238
1790268235.498832,classification,,2,metal,0.885158,0.488166,ACCEPT,classifier,false,,,,127.219,,,128.3541
1790268235.674578,classification,,2,metal,0.938059,0.308021,ACCEPT,classifier,false,,,,126.8715,,,127.9232
1790268235.846507,classification,,2,metal,0.893056,0.468681,ACCEPT,classifier,false,,,,123.9331,,,125.2653
1790268236.020166,classification,,2,metal,0.862791,0.568253,ACCEPT,classifier,false,,,,129.4169,,,130.426
1790268426.649296,classification,,1,glass,0.427929,1.466205,UNCERTAIN,classifier,false,,,,176.689,,,178.5838
1790268426.823275,classification,,1,glass,0.275167,1.583552,UNCERTAIN,classifier,false,,,,125.5372,,,126.7027
1790268426.992973,classification,,2,metal,0.285796,1.574297,UNCERTAIN,classifier,false,,,,123.132,,,124.4701
1790268427.169908,classification,,2,metal,0.402234,1.529721,UNCERTAIN,classifier,false,,,,127.7523,,,129.0423
1790268427.434164,classification,,5,trash,0.58483,1.248668,UNCERTAIN,classifier,false,,,,124.6432,,,125.8673
1790268427.608103,classification,,1,glass,0.381688,1.47894,UNCERTAIN,classifier,false,,,,126.7344,,,127.8707
1790268427.779316,classification,,1,glass,0.28489,1.600164,UNCERTAIN,classifier,false,,,,129.2204,,,130.351
1790268427.958049,classification,,5,trash,0.304649,1.563339,UNCERTAIN,classifier,false,,,,127.7262,,,129.2215
1790268428.131663,classification,,2,metal,0.412429,1.540094,UNCERTAIN,classifier,false,,,,127.3227,,,128.4895
1790268428.306131,classification,,2,metal,0.332721,1.602128,UNCERTAIN,classifier,false,,,,126.7859,,,128.3195
1790268428.484632,classification,,1,glass,0.454532,1.457519,UNCERTAIN,classifier,false,,,,130.5013,,,132.2245
1790268428.658593,classification,,1,glass,0.33872,1.49354,UNCERTAIN,classifier,false,,,,128.5493,,,129.9337
1790268428.846902,classification,,2,metal,0.436892,1.401909,UNCERTAIN,classifier,false,,,,139.3776,,,140.5797
1790268429.034949,classification,,2,metal,0.403303,1.446697,UNCERTAIN,classifier,false,,,,139.7306,,,141.262
1790268429.223715,classification,,1,glass,0.317604,1.551666,UNCERTAIN,classifier,false,,,,140.6306,,,141.9972
1790268429.4066,classification,,1,glass,0.36122,1.484544,UNCERTAIN,classifier,false,,,,136.202,,,137.6071
1790268429.581816,classification,,1,glass,0.396415,1.411942,UNCERTAIN,classifier,false,,,,126.8639,,,127.9743
1790268429.754749,classification,,1,glass,0.350807,1.517166,UNCERTAIN,classifier,false,,,,127.1051,,,128.1667
1790268429.920326,classification,,1,glass,0.415706,1.514687,UNCERTAIN,classifier,false,,,,120.8547,,,121.959
1790268430.103865,classification,,1,glass,0.442,1.424257,UNCERTAIN,classifier,false,,,,136.5193,,,138.0093
1790268430.275029,classification,,2,metal,0.401214,1.403547,UNCERTAIN,classifier,false,,,,125.0056,,,126.2973
1790268430.443229,classification,,2,metal,0.420847,1.459972,UNCERTAIN,classifier,false,,,,125.8352,,,127.3112
1790268430.617238,classification,,2,metal,0.415376,1.457252,UNCERTAIN,classifier,false,,,,126.8843,,,128.4568
1790268430.788623,classification,,2,metal,0.480951,1.380997,UNCERTAIN,classifier,false,,,,124.5621,,,125.8216
1790268430.966914,classification,,2,metal,0.365632,1.520107,UNCERTAIN,classifier,false,,,,133.4042,,,135.1806
1790268431.595211,classification,,0,cardboard,0.999192,0.007509,ACCEPT,classifier,false,,,,134.1004,,,134.7708
1790268431.773692,classification,,2,metal,0.5935,1.195774,UNCERTAIN,classifier,false,,,,132.8754,,,133.9311
1790268431.946463,classification,,2,metal,0.99731,0.020691,ACCEPT,classifier,false,,,,126.746,,,127.4791
1790268432.122867,classification,,0,cardboard,0.678642,0.86805,UNCERTAIN,classifier,false,,,,129.2863,,,130.7978
1790268432.297605,classification,,4,plastic,0.72855,0.868374,ACCEPT,classifier,false,,,,128.196,,,129.3311
1790268432.471101,classification,,5,trash,0.624284,0.9301,UNCERTAIN,classifier,false,,,,127.6616,,,128.4637
